Entidade,NIF,Constituição (t0),Data primeira intervervenção (t1),Total Máximo Reportado em Investimento (em t2),Total FINOVA,Nº Investidores FINOVA,Total Aumento de CS desde 1ª intervenção (t1),CS Final Intervenção (em t2),Total Aumento CS (Inv),CAE,Empresa não sediada em PT,Exit,Emissão de Valores Mobiliários,Montante,Data Emissão,Categorias de Acções,Nº de Acções Especiais,Valor nominal Acções,Nº Investidores (t2),Nº Investidores (t2) FCR´s e SCR´s,Nº Investidores (t2) Outros,Investidores 1,Investidores 2,Investidores 3,Investidores 4,Investidores 5,Investidores 6,Investidores 7,Investidores 8,Investidores 9,Investidores 10,Investidores 11,Investidores 12,Investidores 13,Investidores 14,Investidores 15,Investidores 16,Investidores 17,Investidores 18,Investidores 19,Investidores 20,Investidores 21
"ADDVOLT, S.A.",510788815,2014,2014,3.35E+05,3.35E+05,1.00,5.00E+04,5.00E+04,3.00E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,0.10,1.00E+00,1.00E+00,0.00E+00,FCR Minho Inovação & Internacionalização,,,,,,,,,,,,,,,,,,,,
"BIOMODE 2, S.A.",513002901,2014,2014,1.60E+06,1.53E+06,3.00,6.00E+04,6.00E+05,4.76E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"334,434.00",0.10,4.00E+00,2.00E+00,2.00E+00,FCR FAST Change II,FCR Minho Inovação & Internacionalização,"IA - FCI Ciências da Vida SGPS, SA","Gegnum ­Gestão e Investimentod, lda",,,,,,,,,,,,,,,,,
"AUGRPUBLISHER, S.A",513061690,2014,2014,2.13E+05,2.13E+05,1.00,3.75E+04,5.01E+04,3.75E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,1.00,2.00E+00,1.00E+00,1.00E+00,FCR Minho Inovação & Internacionalização,"Binteractive, Lda",,,,,,,,,,,,,,,,,,,
"DOCTORGUMMY, LDA",513249141,2014,2014,1.63E+05,1.63E+05,1.00,2.97E+03,7.97E+03,2.97E+03,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N - Quotas,0.00,N - Quotas,4.00E+00,1.00E+00,3.00E+00,FCR Minho Inovação & Internacionalização,"Capital Disperso, LDA","Fast Sharks Invest, LDA",Vallis Sustainable Investments I,,,,,,,,,,,,,,,,,
"CRITICAL MATERIALS, S.A.",508339855,2008,2011,6.00E+05,6.00E+05,1.00,1.38E+05,2.38E+05,1.38E+05,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,N,0.00,1.00,1.00E+00,1.00E+00,0.00E+00,FCR Critical Ventures I,,,,,,,,,,,,,,,,,,,,
"RETMARKER, S.A.",508805759,2008,2011,1.13E+06,1.13E+06,2.00,4.53E+05,9.53E+05,4.53E+05,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"70,298.00",Sem valor,2.00E+00,1.00E+00,1.00E+00,FCR Critical Ventures I,Sequoia Saúde e Tecnologia,,,,,,,,,,,,,,,,,,,
"BLUECARING - SISTEMAS DE MONITORIZAÇÃO, S.A.",509961320,2011,2014,3.60E+05,3.60E+05,1.00,5.00E+04,1.00E+05,5.00E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"231,524.00",0.25,1.00E+00,1.00E+00,0.00E+00,FCR Critical Ventures I,,,,,,,,,,,,,,,,,,,,
"WFSW, S.A.",510343350,2012,2012,1.00E+06,1.00E+06,1.00,1.50E+04,6.50E+04,1.50E+04,J - Actividades de informação e de comunicação,,"2013,DE, USA",Sem registo,0.00E+00,0,N,0.00,1.00,2.00E+00,1.00E+00,1.00E+00,Critical Ventures,Critical SGPS (holding),,,,,,,,,,,,,,,,,,,
"CBRA GENOMICS, S.A.",510447147,2012,2013,1.09E+06,1.09E+06,2.00,6.87E+04,6.97E+04,4.37E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"3,878,671.00",0.01,4.00E+00,2.00E+00,2.00E+00,FCR Critical Ventures I,FCR PV Biocant,Biocant ­ Associação de Transferência de Tecnologia,"Critical Software, S.A.",,,,,,,,,,,,,,,,,
GENE PREDIT S.A.,507586557,2006,2012,3.91E+05,3.91E+05,1.00,1.03E+06,1.04E+06,1.02E+06,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"485,000.00",1.00,4.00E+00,3.00E+00,1.00E+00,FCR PV Biocant,"Biocant Ventures, Lda","BETA­SOCIEDADE DE CAPITAL DE RISCO, S.A.",FUNDO DE CAPITAL DE RISCO INOVCAPITAL,,,,,,,,,,,,,,,,,
"TREAT U, S.A.",509293077,2010,2013,7.60E+05,7.60E+05,1.00,2.46E+04,8.46E+04,2.46E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"1,437,600.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR PV Biocant,"Bluepharma ­ Indústria farmacêutica,S.A.",,,,,,,,,,,,,,,,,,,
"PERCEIVE3D, S.A.",510642926,2013,2013,1.13E+06,1.13E+06,1.00,1.08E+05,1.09E+05,3.13E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,"3,127,170.00",0.01,2.00E+00,2.00E+00,0.00E+00,FCR PV Biocant,FCR Portugal Ventures ACTEC II,,,,,,,,,,,,,,,,,,,
"ALTAKITIN, S.A.",509655300,2010,2011,9.01E+05,9.01E+05,1.00,5.89E+04,1.09E+05,1.74E+04,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,N,0.00,1.00,2.00E+00,2.00E+00,0.00E+00,FCR ASK Capital,Fundo ISQ Capital,,,,,,,,,,,,,,,,,,,
"BABYBOOK, S.A.",509822070,2011,2014,6.65E+05,5.08E+05,2.00,7.17E+04,7.27E+04,4.54E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,773,812.00",0.01,3.00E+00,3.00E+00,0.00E+00,Fundo ASK Capital,FCR PV Universitas,"Naves ­ Sociedade de Capital de Risco, S.A.",,,,,,,,,,,,,,,,,,
"SHIFTFORWARD, S.A.",509890180,2011,2014,7.50E+05,7.50E+05,1.00,6.01E+04,6.01E+04,1.31E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"1,008,939.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR Portugal Ventures Internacionalização,,,,,,,,,,,,,,,,,,,,
"YOUNGSTORIES, S.A.",509984568,2011,2013,2.14E+06,2.09E+06,3.00,7.44E+04,7.49E+04,2.64E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"33,373,276.00",0.01,5.00E+00,2.00E+00,3.00E+00,"Shilling Capital Partners, SGPS, Lda",Busy Angels,"FABER VENTURES, S.A.",FCR PV Universitas,FCR Portugal Ventures Early Stage,,,,,,,,,,,,,,,,
"APTOIDE, S.A.",509987184,2011,2013,2.30E+06,1.20E+06,1.00,4.81E+04,8.85E+04,4.81E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"4,361,085.00",0.01,5.00E+00,2.00E+00,3.00E+00,FCR PV Universitas,Golden Gate Ventures,Gobi Partners,e.ventures,FCR Portugal Ventures Internacionalização,,,,,,,,,,,,,,,,
"PASSWORKS, S.A.",513002111,2014,2014,7.50E+05,5.00E+05,1.00,2.07E+05,2.07E+05,2.89E+04,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"7,234,142.00",0.01,2.00E+00,1.00E+00,1.00E+00,"FABER VENTURES, S.A.",FCR PV Universitas,,,,,,,,,,,,,,,,,,,
"BIOMODE - BIOMOLECULAR DETERMINATION, S.A.",509594107,2010,2011,3.00E+05,3.00E+05,1.00,5.00E+05,5.00E+05,5.00E+05,"M - Actividades de consultoria, científicas, técnicas e similares",,Exited,Sem registo,0.00E+00,0,N,0.00,0.01,1.00E+00,1.00E+00,0.00E+00,FCR PV ACTEC,,,,,,,,,,,,,,,,,,,,
"OMNIFLOW, S.A",509895948,2011,2012,8.26E+05,8.26E+05,1.00,2.31E+05,2.36E+05,2.31E+05,"M - Actividades de consultoria, científicas, técnicas e similares",,,Sem registo,0.00E+00,0,Y,0.00,0.01,2.00E+00,2.00E+00,0.00E+00,FCR PV ACTEC,Inovcapital,,,,,,,,,,,,,,,,,,,
PHARMA73 S.A.,509923275,2011,2011,3.00E+05,2.85E+05,1.00,4.01E+05,1.02E+05,4.01E+05,C - Indústrias Transformadoras,,,Sem registo,0.00E+00,0,N,0.00,5.00,1.00E+00,1.00E+00,0.00E+00,FCR PV ACTEC,,,,,,,,,,,,,,,,,,,,
"ABYSSAL, S.A.",510091083,2012,2012,3.00E+05,3.00E+05,1.00,1.51E+05,1.51E+05,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,739,726.00",0.01,1.00E+00,1.00E+00,0.00E+00,FCR PV ACTEC,,,,,,,,,,,,,,,,,,,,
"LYMPHACT - LYMPHOCYTE ACTIVATION TECHNOLOGIES, S.A.",510695833,2013,2013,5.31E+05,5.31E+05,2.00,6.72E+04,6.72E+04,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,351,621.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR PV ACTEC,Busy Angels,,,,,,,,,,,,,,,,,,,
"XHOCKWARE, S.A.",510942571,2014,2014,1.12E+06,2.45E+05,1.00,7.57E+04,7.57E+04,,J - Actividades de informação e de comunicação,,,Sem registo,0.00E+00,0,Y,"2,573,529.00",0.01,2.00E+00,1.00E+00,1.00E+00,FCR PV ACTEC,Busy Angels,,,,,,,,,,,,,,,,,,,
